name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,time_signature,release_year,decade,mood_Calm,mood_Energetic,mood_Happy,mood_Sad,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,energy_danceability,valence_danceability,acoustic_instrumental,speechiness_energy,tempo_category
Electronic Memories (feat. Mickey Kojak),Find Paradise,k?d,2viJufnGlsjR1X51CEHpeg,2018-10-05,1.187857679949517,0.3032013916752324,0.6386807941381907,-0.8541016130811968,1.2821577018819934,-0.7428009329529416,0.5219719597454731,0.9184613773517158,1.3279883887489587,0.8647949968731743,-0.6603001739525672,0.25951051390665175,0.5192737409480563,0.2538771048279807,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.818889499248389,0.5866036418722503,0.6344274750333253,1.1088035657899549,
Emotions in Motion,Emotions in Motion,Jaakko Eino Kalevi,4UmpEQtTlhBOxDPePaK8qR,2018-08-01,0.4417493874238353,0.6440668067346422,0.9471698363115351,-0.6109420125216889,-0.01438602432347814,0.7176418317521018,-0.6250178744372856,0.8549995086299738,0.08374716331814808,-0.5235678228192008,0.4803347586839924,0.25951051390665175,0.5192737409480563,0.2538771048279807,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,-0.013626008303642552,0.8098297446354952,-0.43843754496038034,0.007532059434067516,slow
Empty Street at Night,Empty Street at Night,Golden Sleep,6CY6TBcuh13KEk34pMnZA8,2020-06-05,0.7654774587245902,1.5170377730938485,-1.822935848510336,1.10433212368967,-1.5110817725649244,1.4270206408476913,1.2331197390730277,-1.0936764978070201,-1.5319173527538648,-0.20187399874413828,1.753059567715795,-1.7407615371041707,0.6891458374146133,1.0753850949788963,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2.754605133239143,1.993702094525653,1.5759047348563247,0.30504811985706176,slow
Enemy,Seasons - Clean,Sevendust,3eqyYjMYUHGlmtCP4C4iSX,2003-10-07,1.031317768796928,-0.6368970582631582,0.44980995199124546,-1.0953583313958453,1.4783250741684004,-0.8515357844296041,-0.3440792962672914,0.2164144546174439,1.278143704723516,0.29155111487475466,-0.42208946352789256,0.25951051390665175,-0.7547669825511213,-0.5676308853229348,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6649653306391425,0.097345375441684,0.9327368159566634,0.4310073235211015,
Escaping Time,Floating,Benjamin Martins,7JrSIPcfkWhDzxWII8Jz7V,2019-10-21,1.3423185487585174,-0.3415849251549395,-1.1367051220430993,0.46354079155389244,-0.7714694767413303,1.2490665066072169,-0.3863256989996213,-0.6006571051749859,-0.8641057796818038,-0.2284802548706473,-0.1424042585801636,0.25951051390665175,0.6042097891813348,0.2538771048279807,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8769333057117797,0.6827700080439871,0.5789932771761646,0.17626554267078404,
Essential Attitudes,Honey,Peals,0T3UHut7JmCi5jcgYiMawm,2016-09-16,1.1694366921162096,-0.03416126528464049,-0.3560389745023902,-0.0018247766511779232,-0.032776715475328476,0.9077846053241153,-0.6045987797833262,-0.3666414642635619,-0.1433677276042323,-0.37844278940187936,-0.6921053441904801,0.25951051390665175,0.34940164448149935,0.2538771048279807,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.011669788165392573,0.13053865094645334,-0.0016565041520942118,0.012404111631915054,
Event Horizon,Event Horizon,Airwaves,7lSHfDPdyGdRyG234h5ToK,2018-10-30,1.292883604002747,1.5809238984316705,-0.23012507973775953,-0.9337741475330597,-0.39139519293641667,1.3368247097943002,-0.3722435647555113,-1.136909895873707,0.46615772301872255,-0.6299928473252365,-0.660576440360714,-1.7407615371041707,0.5192737409480563,0.2538771048279807,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.09006984998346866,0.2616314804425847,-1.2482923537893025,0.24657617202742343,
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1978-01-01,,-0.3615558743194632,0.8212559415469051,-0.4915550342910687,0.12047904412342682,-0.8519648245340743,-0.8066774061863046,2.4574116938539623,-0.1467175047564796,-0.4340740522118527,-0.8495771968342196,0.25951051390665175,-2.878168188383084,-3.0321548557756817,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.09894413081825601,2.0181639544044105,0.41878759853863123,-0.05229682688926648,
Every Way,Every Way,Antonio Giacca,4xxyCh7xkK30LVBO81poif,2018-07-20,1.1507208549080683,-0.9364438690738022,2.3825882366283233,-1.0495064223484567,1.2269856284264415,-0.852248527303155,1.0007645240452128,1.6522392344468595,0.9525453655250592,1.742801449047969,0.134725482092207,0.25951051390665175,0.5192737409480563,0.2538771048279807,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2.9234015248008505,3.9366057640888736,0.8944403028416753,2.138392331182635,slow
Everybody Hurts,Part Lies Part Heart Part Truth Part Garbage 1982-2011,R.E.M.,0sSxUKtpE11r5VVx1DIMww,2011-11-11,,1.689213146344716,-1.3759415220958975,0.28811502762318514,-0.09714413450680619,-0.8071569486234692,-0.06947767850714653,-0.6204889391505304,0.6708961025640895,-0.6420866001100133,2.3644716622459283,-1.7407615371041707,-0.07527859668489319,0.2538771048279807,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.1336646482959835,0.8537564953784494,-0.23255404654889666,0.06237494704610501,slow
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,7lL2lMWNtzOcf5HnEudNgn,1999-10-08,1.389996460133339,-1.4018227499102816,1.9670723839050424,-0.49886444112151485,0.3411673379456346,-0.815445223368916,-0.37928463187756634,1.7117347363734927,0.4459250690191477,-0.5937115889709063,-0.15728811131907836,0.25951051390665175,-1.0945111754842352,-1.3891388754738505,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.6711008487632566,3.3671061284912756,0.4067966256211431,-0.20255500231667686,
Expedition,Expedition,Skytech,2MlnLVsrTJmHmdpzJQcQ6w,2019-09-20,1.187857679949517,-1.2024443647520655,0.8716214994527574,-1.0887823017173872,1.4292832310967987,0.600630894169324,1.2824072089274123,0.041894315632652925,0.9916707626633099,0.07386356474877247,0.37521539038409324,0.25951051390665175,0.6042097891813348,0.2538771048279807,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.2457939930312736,0.03651598621028004,-0.653956287436249,0.10557195448445311,slow
Faces,Scary Kids Scaring Kids,Scary Kids Scaring Kids,2G7cxwbFSMneFgTMdnvICw,2007-09-25,1.031317768796928,-0.24817804250062267,-0.8345117746079862,-1.0957155177429598,1.4078274247529727,-0.8521710563115639,1.0570930610216527,0.7717058059326876,1.0809088259991833,0.06418856252095093,2.619258357159417,0.25951051390665175,-0.4150227896180072,-0.5676308853229348,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-1.1748485625723943,-0.6439975815841733,0.9337370501719902,0.09036641867246553,slow
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,1.7246039376968678,0.35176948532403485,0.4183314783000878,0.9483981113068193,-0.7377532096296041,-0.85225135506748,-0.5482702428068863,-1.1234242487703368,0.6738439064580671,-0.5816178361861294,-0.31507076367198317,0.25951051390665175,0.6042097891813348,0.2538771048279807,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-0.30862539080498685,-0.4699637267462606,-0.8082735755046754,0.4290904254241423,
Falling Ashes,Slowdive,Slowdive,6Zr0mt1HdVUwTEdMwqPXsC,2017-05-05,1.0725967192430563,2.5757529436753246,-1.0611567851843209,1.228592039807254,-0.7745345919333054,0.9809164413133514,-0.6229055543006692,-0.8267400124961922,-0.29035594904485246,-0.5574303306165759,2.3707567230312705,0.25951051390665175,0.43433769271477785,0.2538771048279807,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.8219026375899963,0.8773007738437046,1.2051461315136431,0.43174907365535714,slow
Falling Asleep,Falling Asleep,Tiz McNamara,1FunUekKzZ9Mgt3BMYCrfF,2019-10-25,1.2238681504597395,-0.3057905712422591,0.22946063615314188,1.0945862479157418,-0.9400508122999613,-0.848281417728083,-0.6327630482715462,-0.5808252711994415,-0.18986263447742752,-0.5066365689205133,0.5163529916461471,0.25951051390665175,0.6042097891813348,0.2538771048279807,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,-0.2157046574066269,-0.133276536223245,-0.9285171742076284,0.4762641181545939,slow
